epoch,train_loss,val_cer,val_wer,lr
1,3.541653286503709,0.8227920448024373,0.9989825989825989,0.0001
2,1.3166542765886888,0.1817683557742901,0.5474052974052974,0.0001
3,0.5496437010233817,0.10399487352135545,0.3123560073560074,0.0001
4,0.39038081321379414,0.09230851085748601,0.2996575046575046,0.0001
5,0.31979274450112943,0.0837841068512962,0.26904851404851404,0.0001
6,0.2735405869620002,0.07912253032761052,0.24077303577303574,0.0001
7,0.24344637125487562,0.07270168435990097,0.2285058835058835,0.0001
8,0.21355162131721558,0.07299764567950712,0.22819874819874816,0.0001
9,0.195531753661192,0.0740037584313822,0.23511607511607513,0.0001
10,0.1803748489600485,0.07222439469155514,0.2291217041217041,0.0001
11,0.17052642438236787,0.07338964232734141,0.2446329446329446,0.0001
12,0.155687951422094,0.07062623459652852,0.2306066056066056,0.0001
13,0.13966060970383493,0.07309727672107819,0.2421387021387021,0.0001
14,0.13106903816451845,0.0692506712190047,0.22383063383063384,0.0001
15,0.1228381050143229,0.07105190769517994,0.23032117032117033,0.0001
16,0.12108540073361086,0.0708149398024362,0.226986926986927,0.0001
17,0.11281079715927658,0.07246683514086485,0.2314677214677215,5e-05
18,0.08445570169968288,0.06828252272916267,0.2117822717822718,5e-05
19,0.07115683366504053,0.06831534999650482,0.21470928970928968,5e-05
20,0.06547467742601167,0.06849516157016695,0.21493330993330992,5e-05
21,0.06078343014941429,0.06936266615134107,0.22426563926563928,2.5e-05
22,0.04997477387634875,0.06922048515217817,0.2153783153783154,2.5e-05
23,0.04555312610666632,0.06638493079872272,0.20700039200039203,2.5e-05
24,0.042375634755918996,0.068425986991262,0.21533678033678033,2.5e-05
25,0.04051728879668466,0.06845526944455213,0.21119127119127118,2.5e-05
26,0.03700507358323945,0.06863757531289678,0.2137267737267737,1.25e-05
27,0.03284715892463599,0.06839727066843525,0.2138924888924889,1.25e-05
28,0.02940045067225583,0.06746307744476128,0.20755406755406758,1.25e-05
29,0.028712636624138966,0.06762968011018708,0.20742569242569242,6.25e-06
30,0.026733234365288492,0.0670639025650998,0.207001002001002,6.25e-06
31,0.02511814767722567,0.06751435452835766,0.20968513968513972,6.25e-06
